0.11,0.35,0.42,0.55,0.88,0.35,0.58,0.12,0,0,0,0,0.11,0.33
1.69,2.31,2.27,5.84,0.61,0.58,0.62,0.55,0.21,0.23,0.29,0.17,0.16,0.18
0.06,3.76,4.08,8.39,0.65,0.75,0.43,0.31,0.47,0.6,0.2,0.31,0.03,0.16
0,1.35,1.62,4.41,0.56,0.43,0.4,0.24,0.61,0.47,0.24,0.28,0.23,0.14
0.31,0.38,0.16,0.82,2.66,1.65,1.67,1.37,0.81,0.98,0.61,0.67,0.18,0.41
1.41,0.7,0.37,0.99,3.08,1.67,1.66,1.43,0.75,0.97,0.43,0.48,0.2,0.45
1.33,1.29,0.35,1.11,2.65,1.82,1.6,1.26,0.81,1.15,0.76,0.62,0.29,0.48
0.84,0.99,0.53,1.36,3.1,1.92,1.83,1.7,1.33,1.45,0.83,0.83,0.5,0.86
0.84,0.6,0.33,0.83,2.37,1.2,1.21,1.23,0.78,1.3,0.76,0.58,0.76,1.6
0.43,0.88,0.42,1.39,1.41,0.76,0.94,0.91,1.03,1.18,0.97,0.79,0.49,0.88
0.37,0.58,0.22,0.75,1.26,0.94,0.8,0.6,0.92,1.2,0.89,0.66,1,2.03
0.55,0.69,0.24,1.07,1.92,0.98,1.02,1.34,1.16,0.62,0.95,0.84,1.64,4.1
0.4,0.24,0.13,0.39,1.33,0.73,0.78,0.61,1.01,1.76,0.89,0.76,1.18,2.76
1.06,0.68,0.31,0.86,2.06,1.5,1.31,0.69,1.11,1.17,0.74,1.22,0.98,1.91
